model_name,model,accuracy,precision,recall,f1,roc_auc,auprc,parameters,training_testing_time_seconds
RF_base,RandomForestClassifier(random_state=44),0.9874723852453529,0.8461538461538461,0.16006191950464396,0.26920072897682895,0.9757009067961238,0.48275454881279334,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 44, 'verbose': 0, 'warm_start': False}",62.66157102584839
Balanced_RF_base,BalancedRandomForestClassifier(random_state=44),0.877028987124272,0.10490067085749558,0.9996904024767802,0.18987695338341443,0.9709902352393018,0.32220739293292483,"{'bootstrap': 'warn', 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 44, 'replacement': 'warn', 'sampling_strategy': 'warn', 'verbose': 0, 'warm_start': False}",15.347122192382812
Easy_Ensemble_base,EasyEnsembleClassifier(random_state=44),0.8755517372191105,0.10381012068328271,1.0,0.18809416354874872,0.9650071250119429,0.26094658696311523,"{'estimator': None, 'n_estimators': 10, 'n_jobs': None, 'random_state': 44, 'replacement': False, 'sampling_strategy': 'auto', 'verbose': 0, 'warm_start': False}",29.33969521522522
GB_base,GradientBoostingClassifier(random_state=44),0.9862963872090688,0.6961869618696187,0.08761609907120743,0.1556441633438746,0.9708779224588129,0.363167333350537,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 44, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",205.02218508720398
RF_grid_search,"RandomForestClassifier(class_weight='balanced', max_depth=10,
                       max_features='log2', n_estimators=350, n_jobs=-1,
                       random_state=40)",0.8756432285274363,0.1038785617804078,1.0,0.18820650273860856,0.9695535229677453,0.3542488277607513,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 350, 'n_jobs': -1, 'random_state': 40}",27.320459842681885
Balanced_RF_grid_search,"BalancedRandomForestClassifier(max_depth=20, max_features='log2',
                               min_samples_leaf=10, min_samples_split=5,
                               n_estimators=50, random_state=40,
                               sampling_strategy=0.5)",0.8840626603887265,0.10998714102014573,0.9930340557275542,0.19803966967662268,0.9718715845663458,0.3698139808284616,"{'sampling_strategy': 0.5, 'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 20}",8.481586933135986
